AK01    2002067  2286324   50.691100   29.213100    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG    -1.1245   -0.7851 20040426 12:00:00
AK02    2002067  2286324   50.657300   29.205700    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG    -4.8877   -1.3094 20040426 12:00:00
AK03    2002067  2286324   50.726300   29.221700    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG     2.7947   -0.1767 20040426 12:00:00
AK04    2002067  2286324   50.722600   29.166000    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG     2.3843   -4.1135 20040426 12:00:00
AK05    2002067  2286324   50.619700   29.203600    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG    -9.0740   -1.4591 20040426 12:00:00
AK06    2002067  2286324   50.585800   29.198500    0.1900 MALIN_ARRAY,_Ukraine                               ss   AKASG   -12.8482   -1.8217 20040426 12:00:00
AK07    2002067  2286324   50.550700   29.204400    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG   -16.7562   -1.4045 20040426 12:00:00
AK08    2002067  2286324   50.633800   29.254800    0.1220 MALIN_ARRAY,_Ukraine                               ss   AKASG    -7.5038    2.1668 20040426 12:00:00
AK09    2002067  2286324   50.615100   29.284600    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG    -9.5846    4.2787 20040426 12:00:00
AK10    2002067  2286324   50.599000   29.251300    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG   -11.3785    1.9204 20040426 12:00:00
AK11    2002067  2286324   50.678400   29.167700    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG    -2.5370   -3.9971 20040426 12:00:00
AK12    2002067  2286324   50.643700   29.154900    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG    -6.3997   -4.9062 20040426 12:00:00
AK13    2002067  2286324   50.612900   29.060600    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG    -9.8185  -11.5898 20040426 12:00:00
AK14    2002067  2286324   50.630600   29.107600    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG    -7.8541   -8.2571 20040426 12:00:00
AK15    2002067  2286324   50.695100   29.124000    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG    -0.6744   -7.0861 20040426 12:00:00
AK16    2002067  2286324   50.670000   29.105800    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG    -3.4671   -8.3776 20040426 12:00:00
AK17    2002067  2286324   50.685100   29.057400    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG    -1.7793  -11.7985 20040426 12:00:00
AK18    2002067  2286324   50.722100   29.067600    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG     2.3387  -11.0683 20040426 12:00:00
AK19    2002067  2286324   50.722200   29.011600    0.1800 MALIN_ARRAY,_Ukraine                               ss   AKASG     2.3597  -15.0262 20040426 12:00:00
AK20    2002067  2286324   50.743000   29.010000    0.1700 MALIN_ARRAY,_Ukraine                               ss   AKASG     4.6759  -15.1326 20040426 12:00:00
AK21    2002067  2286324   50.776400   29.041900    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG     8.3887  -12.8699 20040426 12:00:00
AK22    2002067  2286324   50.760800   29.071200    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG     6.6471  -10.8050 20040426 12:00:00
AK23    2002067  2286324   50.762500   29.125400    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG     6.8299   -6.9771 20040426 12:00:00
AKASG   2002067  2286324   50.701200   29.224200    0.1600 MALIN_ARRAY,_Ukraine                               ar   AKASG     0.0000    0.0000 20040426 12:00:00
AKBB    2002067  2286324   50.701200   29.224200    0.1600 MALIN_ARRAY,_Ukraine                               ss   AKASG     0.0000    0.0000 20040426 12:00:00
