CONTIN           ARCES                ARE0   mz       7200.00 1  1998154  1999244 20080912 12:00:00
CONTIN           ARCES                ARE0   mn       7200.00 1  1998154  1999244 20110103 12:00:00
CONTIN           ARCES                ARE0   me       7200.00 1  1998154  1999244 20110103 12:00:00
CONTIN           ARCES                ARE0   lz       7200.00 1  1998154  2004145 20080912 12:00:00
CONTIN           ARCES                ARE0   ln       7200.00 1  1998154  2004145 20110103 12:00:00
CONTIN           ARCES                ARE0   le       7200.00 1  1998154  2004145 20110103 12:00:00
CONTIN           ARCES                ARE0   bz       7200.00 1  1998154  2012212 20120730 12:00:00
CONTIN           ARCES                ARE0   bn       7200.00 1  1998154  2012212 20120730 12:00:00
CONTIN           ARCES                ARE0   be       7200.00 1  1998154  2012212 20120730 12:00:00
CONTIN           ARCES                ARA3   sz       7200.00 1  1998154  2014176 20140918 12:00:00
CONTIN           ARCES                ARA0   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARA0   sn       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARA0   se       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARA1   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARA2   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARB1   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARB2   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARB3   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARB4   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARB5   sz       7200.00 1  1998154  2014261 20140918 12:00:00
CONTIN           ARCES                ARE0   BHZ      7200.00 1  2012212  2014261 20140918 12:00:00
CONTIN           ARCES                ARE0   BHN      7200.00 1  2012212  2014261 20140918 12:00:00
CONTIN           ARCES                ARE0   BHE      7200.00 1  2012212  2014261 20140918 12:00:00
CONTIN           ARCES                ARC1   sz       7200.00 1  1998154  2014262 20140919 12:00:00
CONTIN           ARCES                ARC2   sz       7200.00 1  1998154  2014262 20140919 12:00:00
CONTIN           ARCES                ARC2   sn       7200.00 1  1998154  2014262 20140919 12:00:00
CONTIN           ARCES                ARC2   se       7200.00 1  1998154  2014262 20140919 12:00:00
CONTIN           ARCES                ARC3   sz       7200.00 1  1998154  2014262 20140919 12:00:00
