ARA0    1998154  2286324   69.534859   25.505777    0.4030 ARCESS_Array,_Norway                               ss   ARCES     0.0000    0.0000 20080910 12:00:00
ARA1    1998154  2286324   69.536301   25.507143    0.4110 ARCESS_Array,_Norway                               ss   ARCES     0.1612    0.0534 20080910 12:00:00
ARA2    1998154  2286324   69.533768   25.507761    0.3920 ARCESS_Array,_Norway                               ss   ARCES    -0.1219    0.0776 20080910 12:00:00
ARA3    1998154  2286324   69.534592   25.501938    0.4020 ARCESS_Array,_Norway                               ss   ARCES    -0.0298   -0.1501 20080910 12:00:00
ARB1    1998154  2286324   69.537888   25.507891    0.4140 ARCESS_Array,_Norway                               ss   ARCES     0.3385    0.0827 20080910 12:00:00
ARB2    1998154  2286324   69.535736   25.513353    0.3970 ARCESS_Array,_Norway                               ss   ARCES     0.0980    0.2963 20080910 12:00:00
ARB3    1998154  2286324   69.532433   25.510647    0.3760 ARCESS_Array,_Norway                               ss   ARCES    -0.2711    0.1905 20080910 12:00:00
ARB4    1998154  2286324   69.532829   25.499825    0.3780 ARCESS_Array,_Norway                               ss   ARCES    -0.2269   -0.2328 20080910 12:00:00
ARB5    1998154  2286324   69.536285   25.498486    0.4050 ARCESS_Array,_Norway                               ss   ARCES     0.1594   -0.2851 20080910 12:00:00
ARC1    1998154  2286324   69.541077   25.507864    0.3810 ARCESS_Array,_Norway                               ss   ARCES     0.6949    0.0816 20080910 12:00:00
ARC2    1998154  2286324   69.538345   25.522888    0.3950 ARCESS_Array,_Norway                               ss   ARCES     0.3897    0.6691 20080910 12:00:00
ARC3    1998154  2286324   69.532928   25.523121    0.3760 ARCESS_Array,_Norway                               ss   ARCES    -0.2157    0.6783 20080910 12:00:00
ARC4    1998154  2286324   69.529312   25.511679    0.3770 ARCESS_Array,_Norway                               ss   ARCES    -0.6199    0.2309 20080910 12:00:00
ARC5    1998154  2286324   69.530014   25.498150    0.3740 ARCESS_Array,_Norway                               ss   ARCES    -0.5415   -0.2983 20080910 12:00:00
ARC6    1998154  2286324   69.534126   25.488176    0.3950 ARCESS_Array,_Norway                               ss   ARCES    -0.0818   -0.6884 20080910 12:00:00
ARC7    1998154  2286324   69.539635   25.493641    0.3620 ARCESS_Array,_Norway                               ss   ARCES     0.5338   -0.4745 20080910 12:00:00
ARCES   1998154  2286324   69.534859   25.505777    0.4030 ARCESS_Array,_Norway                               ar   ARCES     0.0000    0.0000 20080910 12:00:00
ARD1    1998154  2286324   69.548294   25.509256    0.3950 ARCESS_Array,_Norway                               ss   ARCES     1.5015    0.1360 20080910 12:00:00
ARD2    1998154  2286324   69.545158   25.530825    0.3660 ARCESS_Array,_Norway                               ss   ARCES     1.1512    0.9791 20080910 12:00:00
ARD3    1998154  2286324   69.536552   25.548323    0.3310 ARCESS_Array,_Norway                               ss   ARCES     0.1898    1.6637 20080910 12:00:00
ARD4    1998154  2286324   69.527130   25.536211    0.3710 ARCESS_Array,_Norway                               ss   ARCES    -0.8635    1.1906 20080910 12:00:00
ARD5    1998154  2286324   69.521400   25.511782    0.3510 ARCESS_Array,_Norway                               ss   ARCES    -1.5042    0.2350 20080910 12:00:00
ARD6    1998154  2286324   69.522720   25.489981    0.4130 ARCESS_Array,_Norway                               ss   ARCES    -1.3566   -0.6181 20080910 12:00:00
ARD7    1998154  2286324   69.529388   25.470732    0.4130 ARCESS_Array,_Norway                               ss   ARCES    -0.6110   -1.3709 20080910 12:00:00
ARD8    1998154  2286324   69.538391   25.468592    0.3680 ARCESS_Array,_Norway                               ss   ARCES     0.3952   -1.4540 20080910 12:00:00
ARD9    1998154  2286324   69.545425   25.485729    0.3590 ARCESS_Array,_Norway                               ss   ARCES     1.1810   -0.7836 20080910 12:00:00
ARE0    1998154  2014261   69.534866   25.505751    0.3560 ARCESS_Array,_Norway                               ss   ARCES     0.0008   -0.0010 20140923 12:00:00
