CM01   SHZ       2005202     2604  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM01   sz        1986198      373  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM02   SHZ       2005207     2605  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM02   sz        1986198      374  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM03   SHZ       2005203     2606  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM03   sz        1986198      375  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM04   SHZ       2005202     2607  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM04   sz        1986198      376  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM05   SHZ       2005199     2608  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM05   sz        1986198      377  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM06   SHZ       2005202     2609  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM06   sz        1986198      378  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM07   SHZ       2005192     2610  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM07   sz        1986198      379  2005189 n       0.0000   -1.0    0.0 short_period_vertical                              20050712 12:00:00
CM08   SHZ       2005195     2611  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM08   sz        1986198      380  2005192 n       0.0000   -1.0    0.0 short_period_vertical                              20050714 12:00:00
CM09   SHZ       2005202     2612  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM09   sz        1986198      381  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM10   SHZ       2005200     2613  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM10   sz        1986198      382  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM11   SHZ       2005202     2614  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM11   sz        1986198      383  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM12   SHZ       2005192     2615  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM12   sz        1986198      384  2005190 n       0.0000   -1.0    0.0 short_period_vertical                              20050712 12:00:00
CM13   SHZ       2005192     2616  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM13   sz        1986198      385  2005190 n       0.0000   -1.0    0.0 short_period_vertical                              20050712 12:00:00
CM14   SHZ       2005206     2617  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM14   sz        1986198      386  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM15   SHZ       2005203     2618  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM15   sz        1986198      387  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050715 12:00:00
CM16   SHZ       2005192     2619  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM16   sz        1986198      388  2005170 n       0.0000   -1.0    0.0 short_period_vertical                              20050712 12:00:00
CM17   SHZ       2005195     2620  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM17   sz        1986198      389  2005192 n       0.0000   -1.0    0.0 short_period_vertical                              20050714 12:00:00
CM18   SHZ       2005195     2621  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20050908 12:00:00
CM18   sz        1986198      390  2005194 n       0.0000   -1.0    0.0 short_period_vertical                              20050714 12:00:00
CM31   BHE       2005190     2624  2014137 n       0.0579   90.0   90.0 broadband_east                                     20160701 12:00:00
CM31   BHE       2014137     2624  2016168 n       0.0579   50.0   90.0 broadband_east                                     20160701 12:00:00
CM31   BHE       2016168     2624  2286324 n       0.0579   90.0   90.0 broadband_east                                     20160701 12:00:00
CM31   BHN       2005190     2623  2014137 n       0.0579    0.0   90.0 broadband_north                                    20160701 12:00:00
CM31   BHN       2014137     2623  2016168 n       0.0579  320.0   90.0 broadband_north                                    20160701 12:00:00
CM31   BHN       2016168     2623  2286324 n       0.0579    0.0   90.0 broadband_north                                    20160701 12:00:00
CM31   BHZ       2005190     2622  2286324 n       0.0579   -1.0    0.0 broadband_vertical                                 20050908 12:00:00
CM31   be        1987093        6  2005188 n       0.0000   90.0   90.0 broadband_east                                     20050712 12:00:00
CM31   bn        1987093       27  2005188 n       0.0000    0.0   90.0 broadband_north                                    20050712 12:00:00
CM31   bz        1987093       48  2005188 n       0.0000   -1.0    0.0 broadband_vertical                                 20050712 12:00:00
CM32   MHE       2005195     2627  2016160 n       0.0735   90.0   90.0 long_period_east                                   20160701 12:00:00
CM32   MHE       2016160     2627  2286324 n       0.0259   90.0   90.0 long_period_east                                   20160701 12:00:00
CM32   MHN       2005195     2626  2016160 n       0.0735    0.0   90.0 long_period_north                                  20160701 12:00:00
CM32   MHN       2016160     2626  2286324 n       0.0259    0.0   90.0 long_period_north                                  20160701 12:00:00
CM32   MHZ       2005195     2625  2016160 n       0.0735   -1.0    0.0 long_period_vertical                               20160701 12:00:00
CM32   MHZ       2016160     2625  2286324 n       0.0259   -1.0    0.0 long_period_vertical                               20160701 12:00:00
CM32   le        1987093       95  2005193 n       0.0000   90.0   90.0 long_period_east                                   20050714 12:00:00
CM32   ln        1987093      141  2005193 n       0.0000    0.0   90.0 long_period_north                                  20050714 12:00:00
CM32   lz        1987093      187  2005193 n       0.0000   -1.0    0.0 long_period_vertical                               20050714 12:00:00
CM33   MHE       2005192     2630  2286324 n       0.0599   90.0   90.0 long_period_east                                   20050908 12:00:00
CM33   MHN       2005192     2629  2286324 n       0.0599    0.0   90.0 long_period_north                                  20050908 12:00:00
CM33   MHZ       2005192     2628  2286324 n       0.0599   -1.0    0.0 long_period_vertical                               20050908 12:00:00
CM33   le        1987093       96  2005188 n       0.0000   90.0   90.0 long_period_east                                   20050712 12:00:00
CM33   ln        1987093      142  2005188 n       0.0000    0.0   90.0 long_period_north                                  20050712 12:00:00
CM33   lz        1987093      188  2005188 n       0.0000   -1.0    0.0 long_period_vertical                               20050712 12:00:00
CM34   MHE       2005196     2633  2286324 n       0.0594   90.0   90.0 long_period_east                                   20050908 12:00:00
CM34   MHN       2005196     2632  2286324 n       0.0594    0.0   90.0 long_period_north                                  20050908 12:00:00
CM34   MHZ       2005196     2631  2286324 n       0.0594   -1.0    0.0 long_period_vertical                               20050908 12:00:00
CM34   le        1987093       97  2005193 n       0.0000   90.0   90.0 long_period_east                                   20050715 12:00:00
CM34   ln        1987093      143  2005193 n       0.0000    0.0   90.0 long_period_north                                  20050715 12:00:00
CM34   lz        1987093      189  2005193 n       0.0000   -1.0    0.0 long_period_vertical                               20050715 12:00:00
CM35   MHE       2005196     2636  2286324 n       0.0305   90.0   90.0 long_period_east                                   20050908 12:00:00
CM35   MHN       2005196     2635  2286324 n       0.0305    0.0   90.0 long_period_north                                  20050908 12:00:00
CM35   MHZ       2005196     2634  2286324 n       0.0305   -1.0    0.0 long_period_vertical                               20050908 12:00:00
CM35   le        1987093       98  2005193 n       0.0000   90.0   90.0 long_period_east                                   20050715 12:00:00
CM35   ln        1987093      144  2005193 n       0.0000    0.0   90.0 long_period_north                                  20050715 12:00:00
CM35   lz        1987093      190  2005193 n       0.0000   -1.0    0.0 long_period_vertical                               20050715 12:00:00
CM36   MHE       2005206     2639  2286324 n       0.0576   90.0   90.0 long_period_east                                   20050908 12:00:00
CM36   MHN       2005206     2638  2286324 n       0.0576    0.0   90.0 long_period_north                                  20050908 12:00:00
CM36   MHZ       2005206     2637  2286324 n       0.0576   -1.0    0.0 long_period_vertical                               20050908 12:00:00
CM36   le        1987093       99  2005194 n       0.0000   90.0   90.0 long_period_east                                   20050715 12:00:00
CM36   ln        1987093      145  2005194 n       0.0000    0.0   90.0 long_period_north                                  20050715 12:00:00
CM36   lz        1987093      191  2005194 n       0.0000   -1.0    0.0 long_period_vertical                               20050715 12:00:00
