FIA0    1993322  2286324   61.443600   26.077100    0.1500 FINESS_Array,_Finland                              ss   FINES     0.0000    0.0000 20110119 12:00:00
FIA1    1993322  2286324   61.444400   26.079300    0.1380 FINESS_Array,_Finland                              ss   FINES     0.0890    0.1195 20110119 12:00:00
FIA2    1993322  2286324   61.441200   26.073700    0.1620 FINESS_Array,_Finland                              ss   FINES    -0.2645   -0.1890 20110119 12:00:00
FIA3    1993322  2286324   61.444700   26.071600    0.1530 FINESS_Array,_Finland                              ss   FINES     0.1255   -0.2957 20110119 12:00:00
FIB1    1993322  2286324   61.444100   26.084500    0.1650 FINESS_Array,_Finland                              ss   FINES     0.0515    0.3937 20110119 12:00:00
FIB2    1993322  2286324   61.439100   26.081800    0.1590 FINESS_Array,_Finland                              ss   FINES    -0.5095    0.2395 20110119 12:00:00
FIB3    1993322  2286324   61.439400   26.070600    0.1760 FINESS_Array,_Finland                              ss   FINES    -0.4665   -0.3552 20110119 12:00:00
FIB4    1993322  2286324   61.443600   26.065000    0.1580 FINESS_Array,_Finland                              ss   FINES     0.0035   -0.6457 20110119 12:00:00
FIB5    1993322  2286324   61.446700   26.071100    0.1430 FINESS_Array,_Finland                              ss   FINES     0.3455   -0.3172 20110119 12:00:00
FIB6    1993322  2286324   61.446900   26.080800    0.1470 FINESS_Array,_Finland                              ss   FINES     0.3655    0.2020 20110119 12:00:00
FIC1    1993322  2286324   61.438400   26.059500    0.1580 FINESS_Array,_Finland                              ss   FINES    -0.5680   -0.9460 20110119 12:00:00
FIC2    1993322  2286324   61.448800   26.061200    0.1540 FINESS_Array,_Finland                              ss   FINES     0.5870   -0.8397 20110119 12:00:00
FIC3    1993322  2286324   61.452700   26.077200    0.1330 FINESS_Array,_Finland                              ss   FINES     1.0130    0.0192 20110119 12:00:00
FIC4    1993322  2286324   61.448900   26.089900    0.1450 FINESS_Array,_Finland                              ss   FINES     0.5795    0.6890 20110119 12:00:00
FIC5    1993322  2286324   61.439700   26.091700    0.1610 FINESS_Array,_Finland                              ss   FINES    -0.4510    0.7730 20110119 12:00:00
FIC6    1993322  2286324   61.434600   26.076000    0.1590 FINESS_Array,_Finland                              ss   FINES    -1.0065   -0.0720 20110119 12:00:00
FINES   1993322  2286324   61.443600   26.077100    0.1500 FINESS_Array,_Finland                              ar   FINES     0.0000    0.0000 20110119 12:00:00
