GEA0    1996160  2002156   48.836800   13.701900    1.0220 GERESS_Array,_Germany                              ss   GERES    -0.9230    0.0080 20080919 12:00:00
GEA0    2002157  2017152   48.836803   13.701883    1.0224 GERESS_Array,_Germany                              ss   GERES    -0.9241    0.0238 20170726 12:00:00
GEA1    1996160  2002156   48.836300   13.703900    1.0040 GERESS_Array,_Germany                              ss   GERES    -0.9840    0.1570 20080919 12:00:00
GEA1    2002157  2017152   48.836277   13.703921    1.0041 GERESS_Array,_Germany                              ss   GERES    -0.9826    0.1735 20170628 12:00:00
GEA2    1996160  2002156   48.838600   13.701800    1.0550 GERESS_Array,_Germany                              ss   GERES    -0.7220    0.0070 20080919 12:00:00
GEA2    2002157  2017152   48.838615   13.701818    1.0556 GERESS_Array,_Germany                              ss   GERES    -0.7224    0.0190 20170628 12:00:00
GEA3    1996160  2002156   48.835000   13.700000    1.0110 GERESS_Array,_Germany                              ss   GERES    -1.1200   -0.1310 20080919 12:00:00
GEA3    2002157  2286324   48.835011   13.700034    1.0119 GERESS_Array,_Germany                              ss   GERES    -1.1235   -0.1120 20030814 12:00:00
GEB1    1996160  2002156   48.838900   13.707500    1.0100 GERESS_Array,_Germany                              ss   GERES    -0.6990    0.4270 20080919 12:00:00
GEB1    2002157  2286324   48.838886   13.707532    1.0099 GERESS_Array,_Germany                              ss   GERES    -0.6922    0.4388 20030814 12:00:00
GEB2    1996160  2002156   48.839500   13.698600    1.0890 GERESS_Array,_Germany                              ss   GERES    -0.6150   -0.2270 20080919 12:00:00
GEB2    2002157  2286324   48.839539   13.698610    1.0887 GERESS_Array,_Germany                              ss   GERES    -0.6196   -0.2166 20030814 12:00:00
GEB3    1996160  2002156   48.837000   13.696000    1.0540 GERESS_Array,_Germany                              ss   GERES    -0.8990   -0.4250 20080919 12:00:00
GEB3    2002157  2017152   48.836952   13.695982    1.0536 GERESS_Array,_Germany                              ss   GERES    -0.9075   -0.4097 20170628 12:00:00
GEB4    1996160  2002156   48.832700   13.698900    1.0010 GERESS_Array,_Germany                              ss   GERES    -1.3720   -0.2220 20080919 12:00:00
GEB4    2002157  2017152   48.832733   13.698856    1.0009 GERESS_Array,_Germany                              ss   GERES    -1.3770   -0.1986 20170628 12:00:00
GEB5    1996160  2002156   48.834600   13.705900    0.9720 GERESS_Array,_Germany                              ss   GERES    -1.1770    0.3020 20080919 12:00:00
GEB5    2002157  2017152   48.834568   13.705943    0.9717 GERESS_Array,_Germany                              ss   GERES    -1.1728    0.3221 20170628 12:00:00
GEC1    1996160  2002156   48.841200   13.709900    1.0230 GERESS_Array,_Germany                              ss   GERES    -0.4410    0.6060 20080919 12:00:00
GEC1    2002157  2017152   48.841228   13.709918    1.0226 GERESS_Array,_Germany                              ss   GERES    -0.4316    0.6141 20170628 12:00:00
GEC2    1996160  2002156   48.845100   13.701600    1.1320 GERESS_Array,_Germany                              ss   GERES     0.0000    0.0000 20080919 12:00:00
GEC2    2002157  2017152   48.845106   13.701559    1.1325 GERESS_Array,_Germany                              ss   GERES     0.0000    0.0000 20170628 12:00:00
GEC2A   2008225  2286324   48.845106   13.701559    1.1325 GERESS_Array,_Germany                              ss   GERES     0.0000    0.0000 20080918 12:00:00
GEC2B   2008225  2286324   48.845085   13.701584    1.7016 GERESS_Array,_Germany                              ss   GERES    -0.0023    0.0018 20080918 12:00:00
GEC3    1996160  2002156   48.842400   13.691700    1.0700 GERESS_Array,_Germany                              ss   GERES    -0.2920   -0.7300 20080919 12:00:00
GEC3    2002157  2017152   48.842369   13.691687    1.0705 GERESS_Array,_Germany                              ss   GERES    -0.3046   -0.7252 20170628 12:00:00
GEC4    1996160  2002156   48.835200   13.687500    1.0980 GERESS_Array,_Germany                              ss   GERES    -1.0840   -1.0510 20080919 12:00:00
GEC4    2002157  2286324   48.835197   13.687495    1.0981 GERESS_Array,_Germany                              ss   GERES    -1.1027   -1.0333 20030814 12:00:00
GEC5    1996160  2002156   48.829600   13.695700    1.0040 GERESS_Array,_Germany                              ss   GERES    -1.7160   -0.4600 20080919 12:00:00
GEC5    2002157  2017152   48.829601   13.695695    1.0042 GERESS_Array,_Germany                              ss   GERES    -1.7256   -0.4309 20170628 12:00:00
GEC6    1996160  2002156   48.826800   13.709000    0.9370 GERESS_Array,_Germany                              ss   GERES    -2.0480    0.5150 20080919 12:00:00
GEC6    2002157  2017152   48.826771   13.709044    0.9371 GERESS_Array,_Germany                              ss   GERES    -2.0405    0.5500 20170628 12:00:00
GEC7    1996160  2002156   48.835400   13.714500    0.9810 GERESS_Array,_Germany                              ss   GERES    -1.0900    0.9300 20080919 12:00:00
GEC7    2002157  2286324   48.835442   13.714481    0.9808 GERESS_Array,_Germany                              ss   GERES    -1.0754    0.9494 20030814 12:00:00
GED1    1996160  2002156   48.851800   13.714800    1.0570 GERESS_Array,_Germany                              ss   GERES     0.7290    0.9820 20080919 12:00:00
GED1    2002157  2017152   48.851807   13.714774    1.0567 GERESS_Array,_Germany                              ss   GERES     0.7459    0.9706 20170628 12:00:00
GED2    1996160  2002156   48.853200   13.696400    0.9940 GERESS_Array,_Germany                              ss   GERES     0.9090   -0.3610 20080919 12:00:00
GED2    2002157  2286324   48.853222   13.696432    0.9941 GERESS_Array,_Germany                              ss   GERES     0.9033   -0.3765 20170726 12:00:00
GED3    1996160  2002156   48.846500   13.681800    0.9410 GERESS_Array,_Germany                              ss   GERES     0.1800   -1.4470 20080919 12:00:00
