GEYT    2010038  2286324   37.929550   58.117060    0.6100 ALIBECK_ARRAY,_TURKMENISTAN                        ar   GEYT      0.0000    0.0000 20100524 12:00:00
GYA0    2010038  2286324   37.929550   58.117060    0.6100 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      0.0000    0.0000 20100224 12:00:00
GYA0B   2010038  2286324   37.929550   58.117060    0.6100 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      0.0000    0.0000 20100224 12:00:00
GYA1    2010038  2286324   37.923220   58.117300    0.6250 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT     -0.7027    0.0211 20100224 12:00:00
GYA2    2010038  2286324   37.935480   58.121320    0.5820 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      0.6583    0.3745 20100224 12:00:00
GYA3    2010038  2286324   37.933090   58.113110    0.6340 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      0.3930   -0.3473 20100224 12:00:00
GYB1    2010038  2286324   37.920520   58.125880    0.6490 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT     -1.0024    0.7756 20100224 12:00:00
GYB2    2010038  2286324   37.937610   58.126890    0.5750 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      0.8948    0.8642 20100224 12:00:00
GYB3    2010038  2286324   37.943010   58.115820    0.5660 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      1.4942   -0.1090 20100224 12:00:00
GYB4    2010038  2286324   37.933220   58.098010    0.6000 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT      0.4076   -1.6750 20100224 12:00:00
GYB5    2010038  2286324   37.920610   58.108520    0.7180 ALIBECK_ARRAY,_TURKMENISTAN                        ss   GEYT     -0.9924   -0.7510 20100224 12:00:00
