HFS     1969121  2002349   60.134400   13.696800    0.2650 Hagfors_Array,_Sweden                              ar   HFS       0.0000    0.0000 20080325 12:00:00
HFSA1   1969121  2002349   60.138300   13.695500    0.2400 Hagfors_Array,_Sweden                              ss   HFS       0.4330   -0.0720 20080325 12:00:00
HFSB1   1969121  2002349   60.138200   13.701100    0.2250 Hagfors_Array,_Sweden                              ss   HFS       0.4220    0.2380 20080325 12:00:00
HFSB2   1969121  2002349   60.143100   13.698800    0.2300 Hagfors_Array,_Sweden                              ss   HFS       0.9660    0.1110 20080325 12:00:00
HFSB3   1969121  2002349   60.143300   13.688400    0.2400 Hagfors_Array,_Sweden                              ss   HFS       0.9880   -0.4640 20080325 12:00:00
HFSB4   1969121  2002349   60.138400   13.686000    0.2390 Hagfors_Array,_Sweden                              ss   HFS       0.4440   -0.5970 20080325 12:00:00
HFSB5   1969121  2002349   60.135100   13.693500    0.2400 Hagfors_Array,_Sweden                              ss   HFS       0.0780   -0.1820 20080325 12:00:00
HFSC1   1969121  2002349   60.134400   13.696800    0.2650 Hagfors_Array,_Sweden                              ss   HFS       0.0000    0.0000 20080325 12:00:00
HFSC2   1969121  2002349   60.133500   13.697300    0.2600 Hagfors_Array,_Sweden                              ss   HFS      -0.1000    0.0280 20080325 12:00:00
HFA0    2002350  2286324   60.141965   13.684988    0.2749 Hagfors_Array,_Sweden                              ss   HFS       0.9474   -0.5287 20080325 12:00:00
HFA1    2002350  2286324   60.144449   13.684584    0.2944 Hagfors_Array,_Sweden                              ss   HFS       1.2245   -0.5511 20080325 12:00:00
HFA2    2002350  2286324   60.140567   13.680606    0.3019 Hagfors_Array,_Sweden                              ss   HFS       0.7914   -0.7725 20080325 12:00:00
HFA3    2002350  2286324   60.140466   13.689584    0.2659 Hagfors_Array,_Sweden                              ss   HFS       0.7801   -0.2730 20080325 12:00:00
HFB1    2002350  2286324   60.148188   13.682351    0.3238 Hagfors_Array,_Sweden                              ss   HFS       1.6417   -0.6753 20080325 12:00:00
HFB2    2002350  2286324   60.142126   13.672940    0.3417 Hagfors_Array,_Sweden                              ss   HFS       0.9655   -1.1990 20080325 12:00:00
HFB3    2002350  2286324   60.137039   13.682041    0.2719 Hagfors_Array,_Sweden                              ss   HFS       0.3978   -0.6927 20080325 12:00:00
HFB4    2002350  2286324   60.138456   13.694303    0.2662 Hagfors_Array,_Sweden                              ss   HFS       0.5558   -0.0104 20080325 12:00:00
HFB5    2002350  2286324   60.146693   13.696394    0.2689 Hagfors_Array,_Sweden                              ss   HFS       1.4749    0.1059 20080325 12:00:00
HFC2    2002350  2286324   60.133474   13.694490    0.2967 Hagfors_Array,_Sweden                              ss   HFS       0.0000    0.0000 20080325 12:00:00
HFS     2002350  2286324   60.133474   13.694490    0.2967 Hagfors_Array,_Sweden                              ar   HFS       0.0000    0.0000 20080325 12:00:00
