HIA0    2008290  2286324   49.543610  119.745200    0.7220 Hailar_Array,_China                                ss   HILR     -1.4014   -0.4057 20180124 12:00:00
HIA1    2008290  2286324   49.546420  119.747970    0.7200 Hailar_Array,_China                                ss   HILR     -1.0886   -0.2050 20180124 12:00:00
HIA2    2008290  2286324   49.539205  119.742870    0.7010 Hailar_Array,_China                                ss   HILR     -1.8917   -0.5744 20180124 12:00:00
HIA3    2008290  2286324   49.544993  119.739210    0.7660 Hailar_Array,_China                                ss   HILR     -1.2474   -0.8395 20180124 12:00:00
HIAB    2017283  2286324   49.544993  119.739210    0.7660 Hailar_Array,_China                                ss   HILR     -1.2474   -0.8395 20180124 12:00:00
HIB1    2008290  2286324   49.556197  119.750800    0.7250 Hailar_Array,_China                                ss   HILR     -0.0003    0.0000 20180124 12:00:00
HIB2    2008290  2286324   49.541468  119.770170    0.6880 Hailar_Array,_China                                ss   HILR     -1.6396    1.4032 20180124 12:00:00
HIB3    2008290  2286324   49.524548  119.745770    0.6440 Hailar_Array,_China                                ss   HILR     -3.5232   -0.3645 20180124 12:00:00
HIB4    2008290  2286324   49.531432  119.725470    0.7170 Hailar_Array,_China                                ss   HILR     -2.7566   -1.8351 20180124 12:00:00
HIB5    2008290  2286324   49.554482  119.726840    0.6570 Hailar_Array,_China                                ss   HILR     -0.1910   -1.7351 20180124 12:00:00
HIBB    2014112  2286324   49.556197  119.750800    0.7250 Hailar_Array,_China                                ss   HILR     -0.0003    0.0000 20180124 12:00:00
HILR    2008290  2286324   49.556200  119.750800    0.7250 Hailar_Array,_China                                ar   HILR      0.0000    0.0000 20180124 12:00:00
