I06H1  BWS          3752 n CA -       -20 n -  s3      -20 y        -1 20111213 12:00:00
I06H1  BWD          3751 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H1  BKO          3750 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H1  BDF          3753 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H1  BDA          3749 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H2  BDF          3755 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H2  BDA          3754 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H3  BDF          3757 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H3  BDA          3756 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H4  BDF          3759 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H4  BDA          3758 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H5  BDF          3761 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H5  BDA          3760 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H6  BDF          3763 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H6  BDA          3762 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H7  BDF          3765 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H7  BDA          3764 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H8  BDF          3767 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
I06H8  BDA          3766 n CA -       -20 n -  s3      -20 y        -1 20111209 12:00:00
