I07AU   2000133  2013142  -19.934820  134.329530    0.3855 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ar   I07AU     0.0000    0.0000 20030730 12:00:00
I07AU   2013143  2286324  -19.934850  134.329540    0.3855 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ar   I07AU     0.0000    0.0000 20130805 12:00:00
I07H1   2000133  2286324  -19.934850  134.329540    0.3855 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU     0.0000    0.0000 20030730 12:00:00
I07H2   2000133  2286324  -19.933410  134.330940    0.3876 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU     0.1593    0.1465 20030730 12:00:00
I07H3   2000133  2286324  -19.936590  134.330730    0.3920 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU    -0.1925    0.1245 20030730 12:00:00
I07H4   2000133  2286324  -19.935020  134.327700    0.3830 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU    -0.0188   -0.1925 20030730 12:00:00
I07H5   2013143  2286324  -19.924550  134.325790    0.3873 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU     1.1394   -0.3923 20130805 12:00:00
I07H6   2013143  2286324  -19.932700  134.338850    0.3875 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU     0.2378    0.9740 20130805 12:00:00
I07H7   2013143  2286324  -19.940220  134.339630    0.3877 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU    -0.5941    1.0555 20130805 12:00:00
I07H8   2013143  2286324  -19.943290  134.322900    0.3884 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU    -0.9337   -0.6946 20130805 12:00:00
I07L1   2000133  2013142  -19.934820  134.329530    0.3855 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU     0.0000    0.0000 20130805 12:00:00
I07L2   2000133  2013142  -19.924550  134.325790    0.3873 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU     1.1361   -0.3913 20130805 12:00:00
I07L3   2000133  2013142  -19.940220  134.339630    0.3877 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU    -0.5974    1.0566 20130805 12:00:00
I07L4   2000133  2013142  -19.943290  134.322900    0.3834 WARRAMUNGA_INFRASONIC_ARRAY,_AUSTRALIA             ss   I07AU    -0.9370   -0.6936 20130805 12:00:00
