I2301   2007344  2286324  -49.345780   70.241590    0.0842 KERGUELEN,_France                                  ss   I23FR     0.0000    0.0000 20090320 12:00:00
I2302   2007344  2286324  -49.346540   70.241830    0.0838 KERGUELEN,_France                                  ss   I23FR    -0.0846    0.0175 20090320 12:00:00
I2303   2007344  2286324  -49.346300   70.240700    0.0848 KERGUELEN,_France                                  ss   I23FR    -0.0579   -0.0647 20090320 12:00:00
I2304   2007344  2286324  -49.342860   70.248680    0.0817 KERGUELEN,_France                                  ss   I23FR     0.3250    0.5156 20090320 12:00:00
I2305   2007344  2286324  -49.343620   70.248920    0.0810 KERGUELEN,_France                                  ss   I23FR     0.2404    0.5331 20090320 12:00:00
I2306   2007344  2286324  -49.343380   70.247790    0.0804 KERGUELEN,_France                                  ss   I23FR     0.2671    0.4509 20090320 12:00:00
I2307   2007344  2286324  -49.348160   70.256370    0.0801 KERGUELEN,_France                                  ss   I23FR    -0.2650    1.0748 20090320 12:00:00
I2308   2007344  2286324  -49.348920   70.256620    0.0771 KERGUELEN,_France                                  ss   I23FR    -0.3496    1.0930 20090320 12:00:00
I2309   2007344  2286324  -49.348680   70.255480    0.0759 KERGUELEN,_France                                  ss   I23FR    -0.3229    1.0101 20090320 12:00:00
I2310   2007344  2286324  -49.351580   70.244540    0.0769 KERGUELEN,_France                                  ss   I23FR    -0.6456    0.2145 20090320 12:00:00
I2311   2007344  2286324  -49.352340   70.244780    0.0776 KERGUELEN,_France                                  ss   I23FR    -0.7302    0.2320 20090320 12:00:00
I2312   2007344  2286324  -49.352100   70.243650    0.0774 KERGUELEN,_France                                  ss   I23FR    -0.7035    0.1498 20090320 12:00:00
I2313   2007344  2286324  -49.345360   70.235990    0.0812 KERGUELEN,_France                                  ss   I23FR     0.0467   -0.4072 20090320 12:00:00
I2314   2007344  2286324  -49.346120   70.236230    0.0808 KERGUELEN,_France                                  ss   I23FR    -0.0379   -0.3898 20090320 12:00:00
I2315   2007344  2286324  -49.345880   70.235100    0.0807 KERGUELEN,_France                                  ss   I23FR    -0.0112   -0.4720 20090320 12:00:00
I23FR   2007344  2286324  -49.345780   70.241590    0.0842 KERGUELEN,_France                                  ar   I23FR     0.0000    0.0000 20090320 12:00:00
