I34H1   1999321  2006272   47.801500  106.409920    1.2880 SONGINO_INFRASONIC_ARRAY,_MONGOLIA                 ss   I34MN     0.0000    0.0000 20080221 12:00:00
I34H2   1999321  2006272   47.815940  106.405520    1.3560 SONGINO_INFRASONIC_ARRAY,_MONGOLIA                 ss   I34MN     1.6067   -0.3298 20080221 12:00:00
I34H3   1999321  2006272   47.798220  106.430520    1.3070 SONGINO_INFRASONIC_ARRAY,_MONGOLIA                 ss   I34MN    -0.3647    1.5444 20080221 12:00:00
I34H4   1999321  2006272   47.791610  106.397280    1.2580 SONGINO_INFRASONIC_ARRAY,_MONGOLIA                 ss   I34MN    -1.1003   -0.9477 20080221 12:00:00
I34MN   1999321  2006272   47.801500  106.409920    1.2880 SONGINO_INFRASONIC_ARRAY,_MONGOLIA                 ar   I34MN     0.0000    0.0000 20080221 12:00:00
I34H1   2008014  2286324   47.801720  106.410120    1.2452 SONGINO,_MONGOLIA                                  ss   I34MN     0.0000    0.0000 20080221 12:00:00
I34H2   2008014  2286324   47.803070  106.411850    1.2507 SONGINO,_MONGOLIA                                  ss   I34MN     0.1502    0.1297 20080221 12:00:00
I34H3   2008014  2286324   47.799890  106.410850    1.2398 SONGINO,_MONGOLIA                                  ss   I34MN    -0.2036    0.0547 20080221 12:00:00
I34H4   2008014  2286324   47.802090  106.407250    1.2419 SONGINO,_MONGOLIA                                  ss   I34MN     0.0412   -0.2151 20080221 12:00:00
I34H5   2008014  2286324   47.798380  106.430740    1.2644 SONGINO,_MONGOLIA                                  ss   I34MN    -0.3714    1.5459 20080221 12:00:00
I34H6   2008014  2286324   47.794200  106.428470    1.2559 SONGINO,_MONGOLIA                                  ss   I34MN    -0.8366    1.3758 20080221 12:00:00
I34H7   2008014  2286324   47.791780  106.397500    1.2163 SONGINO,_MONGOLIA                                  ss   I34MN    -1.1059   -0.9462 20080221 12:00:00
I34H8   2008014  2286324   47.816110  106.405740    1.3136 SONGINO,_MONGOLIA                                  ss   I34MN     1.6011   -0.3283 20080221 12:00:00
I34MN   2008014  2286324   47.801720  106.410120    1.2452 SONGINO,_MONGOLIA                                  ar   I34MN     0.0000    0.0000 20080221 12:00:00
