I37H0   2013319  2286324   69.074080   18.607630    0.0737 Bardufoss,_Norway                                  ss   I37NO     0.0000    0.0000 20131218 12:00:00
I37H1   2013319  2286324   69.075780   18.608750    0.0734 Bardufoss,_Norway                                  ss   I37NO     0.1900    0.0447 20131218 12:00:00
I37H2   2013319  2286324   69.073310   18.612990    0.0741 Bardufoss,_Norway                                  ss   I37NO    -0.0860    0.2141 20131218 12:00:00
I37H3   2013319  2286324   69.073020   18.602910    0.0725 Bardufoss,_Norway                                  ss   I37NO    -0.1184   -0.1886 20131218 12:00:00
I37H4   2013319  2286324   69.077890   18.621900    0.0781 Bardufoss,_Norway                                  ss   I37NO     0.4258    0.5700 20131218 12:00:00
I37H5   2013319  2286324   69.082140   18.614540    0.0731 Bardufoss,_Norway                                  ss   I37NO     0.9007    0.2759 20131218 12:00:00
I37H6   2013319  2286324   69.076580   18.634440    0.0798 Bardufoss,_Norway                                  ss   I37NO     0.2796    1.0709 20131218 12:00:00
I37H7   2013319  2286324   69.068840   18.613980    0.0619 Bardufoss,_Norway                                  ss   I37NO    -0.5856    0.2537 20131218 12:00:00
I37H8   2013319  2286324   69.070480   18.588280    0.0720 Bardufoss,_Norway                                  ss   I37NO    -0.4022   -0.7731 20131218 12:00:00
I37H9   2013319  2286324   69.077090   18.592190    0.0678 Bardufoss,_Norway                                  ss   I37NO     0.3365   -0.6167 20131218 12:00:00
I37NO   2013319  2286324   69.074080   18.607630    0.0737 Bardufoss,_Norway                                  ar   I37NO     0.0000    0.0000 20131218 12:00:00
