I50H1  BDF          2865 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H1  LDA          2873 y CA -         1 n -  s3        1 y        -1 20171024 12:00:00
I50H1  LKO          2874 y CA -         1 n -  s3        1 y        -1 20171024 12:00:00
I50H1  LWD          2875 y CA -         1 n -  s3        1 y        -1 20171024 12:00:00
I50H1  LWS          2876 y CA -         1 n -  s3        1 y        -1 20171024 12:00:00
I50H2  BDF          2866 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H3  BDF          2867 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H4  BDF          2868 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H5  BDF          8468 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H6  BDF          8469 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H7  BDF          8470 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
I50H8  BDF          8471 y CA -        20 n -  s3       20 y        -1 20171024 12:00:00
