I55H1   2001336  2286324  -77.731490  167.587420    0.0418 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US     0.0000    0.0000 20040322 12:00:00
I55H2   2001336  2286324  -77.737540  167.628060    0.0407 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -0.6772    0.9660 20040322 12:00:00
I55H3   2001336  2286324  -77.747650  167.612360    0.0388 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -1.8080    0.5923 20040322 12:00:00
I55H4   2001336  2286324  -77.747840  167.564190    0.0400 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -1.8293   -0.5517 20040322 12:00:00
I55H5   2001336  2286324  -77.737670  167.547310    0.0410 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -0.6917   -0.9534 20040322 12:00:00
I55H6   2001336  2286324  -77.739520  167.587860    0.0409 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -0.8984    0.0105 20040322 12:00:00
I55H7   2001336  2286324  -77.740890  167.591760    0.0408 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -1.0516    0.1031 20040322 12:00:00
I55H8   2001336  2286324  -77.740920  167.584190    0.0411 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -1.0550   -0.0768 20040322 12:00:00
I55H9   2001336  2013007  -77.740000  167.590000    0.0412 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ss   I55US    -0.9521    0.0613 20130529 12:00:00
I55US   2001336  2286324  -77.731490  167.587420    0.0418 WINDLESS_BIGHT_INFRASONIC_ARRAY,_USA               ar   I55US     0.0000    0.0000 20040322 12:00:00
