I57H1  BDF          1974 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H1  LDA          8049 n CA -         1 n -  s4        1 y        -1 20161031 12:00:00
I57H2  BDF          1975 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H3  BDF          1976 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H4  BDF          1977 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H5  BDF          8050 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H5  LKO          8051 n CA -         1 n -  s4        1 y        -1 20161031 12:00:00
I57H5  LWD          8052 n CA -         1 n -  s4        1 y        -1 20161031 12:00:00
I57H5  LWS          8053 n CA -         1 n -  s4        1 y        -1 20161031 12:00:00
I57H6  BDF          8054 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H7  BDF          8055 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
I57H8  BDF          8056 n CA -        20 n -  s4       20 y        -1 20161031 12:00:00
