IL01    1977091  2286324   64.771630 -146.885986    0.4299 Eielson,_Alaska:_array_element                     ss   ILAR      0.0205    0.0223 20070418 12:00:00
IL02    1977091  2286324   64.784684 -146.864270    0.2725 Eielson,_Alaska:_array_element                     ss   ILAR      1.4785    1.0567 20070418 12:00:00
IL03    1977091  2286324   64.771489 -146.851171    0.4517 Eielson,_Alaska:_array_element                     ss   ILAR      0.0053    1.6814 20070418 12:00:00
IL04    1977091  2286324   64.757057 -146.875953    0.5384 Eielson,_Alaska:_array_element                     ss   ILAR     -1.6068    0.5007 20070418 12:00:00
IL05    1977091  2286324   64.773101 -146.922740    0.4005 Eielson,_Alaska:_array_element                     ss   ILAR      0.1853   -1.7291 20070418 12:00:00
IL06    1977091  2286324   64.779210 -146.903797    0.2716 Eielson,_Alaska:_array_element                     ss   ILAR      0.8671   -0.8263 20070418 12:00:00
IL07    1984276  2286324   64.799315 -146.839240    0.4137 Eielson,_Alaska:_array_element                     ss   ILAR      3.1130    2.2477 20070418 12:00:00
IL08    1984276  2286324   64.790435 -146.796800    0.5164 Eielson,_Alaska:_array_element                     ss   ILAR      2.1235    4.2695 20070418 12:00:00
IL09    1984276  2286324   64.768186 -146.783106    0.5015 Eielson,_Alaska:_array_element                     ss   ILAR     -0.3600    4.9257 20070418 12:00:00
IL10    1977091  2286324   64.752928 -146.842992    0.5990 Eielson,_Alaska:_array_element                     ss   ILAR     -2.0672    2.0726 20070418 12:00:00
IL11    1977091  2286324   64.741537 -146.897273    0.4550 Eielson,_Alaska:_array_element                     ss   ILAR     -3.3399   -0.5162 20070418 12:00:00
IL12    1977091  2286324   64.744732 -146.943475    0.3768 Eielson,_Alaska:_array_element                     ss   ILAR     -2.9819   -2.7201 20070418 12:00:00
IL13    1977091  2286324   64.747907 -146.986396    0.3823 Eielson,_Alaska:_array_element                     ss   ILAR     -2.6248   -4.7669 20070418 12:00:00
IL14    1977091  2286324   64.774979 -146.979293    0.2360 Eielson,_Alaska:_array_element                     ss   ILAR      0.3978   -4.4237 20070418 12:00:00
IL15    1977091  2286324   64.777734 -146.942675    0.3489 Eielson,_Alaska:_array_element                     ss   ILAR      0.7034   -2.6786 20070418 12:00:00
IL16    1977091  2286324   64.793297 -146.921372    0.3928 Eielson,_Alaska:_array_element                     ss   ILAR      2.4406   -1.6627 20070418 12:00:00
IL17    1984276  2286324   64.807170 -146.889647    0.3688 Eielson,_Alaska:_array_element                     ss   ILAR      3.9893   -0.1520 20070418 12:00:00
IL18    1984276  2286324   64.757479 -146.776600    0.5664 Eielson,_Alaska:_array_element                     ss   ILAR     -1.5552    5.2379 20070418 12:00:00
IL19    1984276  2286324   64.746188 -146.797338    0.5605 Eielson,_Alaska:_array_element                     ss   ILAR     -2.8176    4.2508 20070418 12:00:00
IL31    1995100  2286324   64.771446 -146.886454    0.3873 Eielson,_Alaska:_array_element                     ss   ILAR      0.0000    0.0000 20070418 12:00:00
ILAR    1977091  2286324   64.771446 -146.886454    0.3873 Eielson,_Alaska:_array                             ar   ILAR      0.0000    0.0000 20070418 12:00:00
