IL01   SHZ       2006187     2882  2286324 n       0.0290   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL01   sz        1977091      470  2006139 n       0.0000   -1.0    0.0 short_period_vertical                              20060601 12:00:00
IL02   SHZ       2006194     2883  2286324 n       0.0326   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL02   sz        1977091      471  2006191 n       0.0000   -1.0    0.0 short_period_vertical                              20060712 12:00:00
IL03   SHZ       2006186     2884  2286324 n       0.0579   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL03   sz        1977091      472  2006179 n       0.0000   -1.0    0.0 short_period_vertical                              20060705 12:00:00
IL04   SHZ       2006171     2885  2286324 n       0.0454   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL04   sz        1977091      473  2006167 n       0.0000   -1.0    0.0 short_period_vertical                              20060620 12:00:00
IL05   SHZ       2006181     2886  2286324 n       0.0579   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL05   sz        1977091      474  2006179 n       0.0000   -1.0    0.0 short_period_vertical                              20060630 12:00:00
IL06   SHZ       2006202     2887  2011180 n       0.0549   -1.0    0.0 short_period_vertical                              20120508 12:00:00
IL06   SHZ       2011181     2887  2286324 n       0.0497   -1.0    0.0 short_period_vertical                              20120508 12:00:00
IL06   sz        1977091      475  2006191 n       0.0000   -1.0    0.0 short_period_vertical                              20060712 12:00:00
IL07   SHZ       2006193     2888  2286324 n       0.0579   -1.0    0.0 short_period_vertical                              20080716 12:00:00
IL07   sz        1984276      476  2006191 n       0.0000   -1.0    0.0 short_period_vertical                              20060712 12:00:00
IL08   SHZ       2006196     2889  2286324 n       0.0305   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL08   sz        1984276      477  2006191 n       0.0000   -1.0    0.0 short_period_vertical                              20060712 12:00:00
IL09   SHZ       2006200     2890  2286324 n       0.0549   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL09   sz        1984276      478  2006191 n       0.0000   -1.0    0.0 short_period_vertical                              20060712 12:00:00
IL10   SHZ       2006183     2891  2286324 n       0.0290   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL10   sz        1977091      479  2006177 n       0.0000   -1.0    0.0 short_period_vertical                              20060703 12:00:00
IL11   SHZ       2006172     2892  2286324 n       0.0594   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL11   sz        1977091      480  2006170 n       0.0000   -1.0    0.0 short_period_vertical                              20060623 12:00:00
IL12   SHZ       2006175     2893  2286324 n       0.0579   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL12   sz        1977091      481  2006173 n       0.0000   -1.0    0.0 short_period_vertical                              20060623 12:00:00
IL13   SHZ       2006177     2894  2286324 n       0.0579   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL13   sz        1977091      482  2006174 n       0.0000   -1.0    0.0 short_period_vertical                              20060630 12:00:00
IL14   SHZ       2006187     2895  2286324 n       0.0488   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL14   sz        1977091      483  2006150 n       0.0000   -1.0    0.0 short_period_vertical                              20060601 12:00:00
IL15   SHZ       2006161     2896  2286324 n       0.0585   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL15   sz        1977091      484  2006142 n       0.0000   -1.0    0.0 short_period_vertical                              20060601 12:00:00
IL16   SHZ       2006168     2897  2286324 n       0.0588   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL16   sz        1977091      485  2006150 n       0.0000   -1.0    0.0 short_period_vertical                              20060601 12:00:00
IL17   SHZ       2006167     2898  2286324 n       0.0594   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL17   sz        1984276      486  2006165 n       0.0000   -1.0    0.0 short_period_vertical                              20060623 12:00:00
IL18   SHZ       2006195     2899  2014252 n       0.0604   -1.0    0.0 short_period_vertical                              20140910 12:00:00
IL18   SHZ       2014252     2899  2286324 n       0.0472   -1.0    0.0 short_period_vertical                              20140910 12:00:00
IL18   sz        1984276      487  2006191 n       0.0000   -1.0    0.0 short_period_vertical                              20060712 12:00:00
IL19   SHZ       2006182     2900  2286324 n       0.0579   -1.0    0.0 short_period_vertical                              20080513 12:00:00
IL19   sz        1984276      488  2006177 n       0.0000   -1.0    0.0 short_period_vertical                              20060628 12:00:00
IL31   BHE       2006146     2903  2007319 n       0.0610   90.0   90.0 broadband_east                                     20080513 12:00:00
IL31   BHE       2007320     4911  2007323 n       0.0610  150.0   90.0 broadband_east                                     20080513 12:00:00
IL31   BHE       2007323     4911  2286324 n       0.0610   90.0   90.0 broadband_east                                     20080513 12:00:00
IL31   BHN       2006146     2902  2007319 n       0.0610    0.0   90.0 broadband_north                                    20080513 12:00:00
IL31   BHN       2007320     4910  2007323 n       0.0610   60.0   90.0 broadband_north                                    20080513 12:00:00
IL31   BHN       2007323     4910  2286324 n       0.0610    0.0   90.0 broadband_north                                    20080513 12:00:00
IL31   BHZ       2006146     2901  2007319 n       0.0610   -1.0    0.0 broadband_vertical                                 20080513 12:00:00
IL31   BHZ       2007320     4909  2286324 n       0.0610   -1.0    0.0 broadband_vertical                                 20080513 12:00:00
IL31   be        1995100       12  2006142 n       0.0000   90.0   90.0 broadband_east                                     20060601 12:00:00
IL31   bn        1995100       33  2006142 n       0.0000    0.0   90.0 broadband_north                                    20060601 12:00:00
IL31   bz        1995100       55  2006142 n       0.0000   -1.0    0.0 broadband_vertical                                 20060601 12:00:00
