KUR01   2007319  2286324   50.721610   78.563360    0.1629 Kurchatov,_Kazakhstan                              ss   KURK     11.0198    2.3303 20101013 12:00:00
KUR02   2007319  2286324   50.701720   78.556610    0.1672 Kurchatov,_Kazakhstan                              ss   KURK      8.8050    1.8540 20101013 12:00:00
KUR03   2007319  2286324   50.681970   78.550000    0.1730 Kurchatov,_Kazakhstan                              ss   KURK      6.6059    1.3872 20101013 12:00:00
KUR04   2007319  2286324   50.662190   78.543390    0.1756 Kurchatov,_Kazakhstan                              ss   KURK      4.4035    0.9200 20101013 12:00:00
KUR05   2007319  2286324   50.642360   78.536640    0.1810 Kurchatov,_Kazakhstan                              ss   KURK      2.1956    0.4425 20101013 12:00:00
KUR06   2007319  2286324   50.602830   78.523940    0.1941 Kurchatov,_Kazakhstan                              ss   KURK     -2.2056   -0.4570 20101013 12:00:00
KUR07   2007319  2286324   50.583060   78.517220    0.1997 Kurchatov,_Kazakhstan                              ss   KURK     -4.4067   -0.9336 20101013 12:00:00
KUR08   2007319  2286324   50.563170   78.510800    0.1986 Kurchatov,_Kazakhstan                              ss   KURK     -6.6211   -1.3893 20101013 12:00:00
KUR09   2007319  2286324   50.543330   78.504330    0.1990 Kurchatov,_Kazakhstan                              ss   KURK     -8.8298   -1.8489 20101013 12:00:00
KUR10   2007319  2286324   50.523620   78.497730    0.2033 Kurchatov,_Kazakhstan                              ss   KURK    -11.0241   -2.3181 20101013 12:00:00
KUR11   2007319  2286324   50.601890   78.686250    0.1995 Kurchatov,_Kazakhstan                              ss   KURK     -2.2987   11.0441 20101013 12:00:00
KUR12   2007319  2286324   50.606110   78.655140    0.2023 Kurchatov,_Kazakhstan                              ss   KURK     -1.8330    8.8389 20101013 12:00:00
KUR13   2007319  2286324   50.610220   78.624170    0.2239 Kurchatov,_Kazakhstan                              ss   KURK     -1.3786    6.6440 20101013 12:00:00
KUR14   2007319  2286324   50.614360   78.592720    0.2166 Kurchatov,_Kazakhstan                              ss   KURK     -0.9200    4.4155 20101013 12:00:00
KUR15   2007319  2286324   50.618500   78.561470    0.1983 Kurchatov,_Kazakhstan                              ss   KURK     -0.4605    2.2015 20101013 12:00:00
KUR16   2007319  2286324   50.626860   78.499330    0.1933 Kurchatov,_Kazakhstan                              ss   KURK      0.4703   -2.1997 20101013 12:00:00
KUR17   2007319  2286324   50.631750   78.469000    0.1838 Kurchatov,_Kazakhstan                              ss   KURK      1.0161   -4.3473 20101013 12:00:00
KUR18   2007319  2286324   50.635310   78.436830    0.1911 Kurchatov,_Kazakhstan                              ss   KURK      1.4148   -6.6249 20101013 12:00:00
KUR19   2007319  2286324   50.639440   78.405690    0.1803 Kurchatov,_Kazakhstan                              ss   KURK      1.8779   -8.8291 20140312 12:00:00
KUR20   2007319  2286324   50.643640   78.374560    0.1819 Kurchatov,_Kazakhstan                              ss   KURK      2.3497  -11.0322 20101013 12:00:00
KURBB   2009288  2286324   50.622640   78.530390    0.2004 Kurchatov,_Kazakhstan                              ss   KURK      0.0000    0.0000 20101013 12:00:00
KURK    2007319  2286324   50.622640   78.530390    0.2004 Kurchatov,_Kazakhstan                              ar   KURK      0.0000    0.0000 20140312 12:00:00
