LZA0    2017202  2286324   35.956298  103.695560    2.7905 Lanshou_Array,_China                               ss   LZDM      0.0000    0.0000 20180124 12:00:00
LZA1    2017202  2286324   35.958962  103.698340    2.5784 Lanshou_Array,_China                               ss   LZDM      0.2956    0.2508 20180124 12:00:00
LZA2    2017202  2286324   35.954938  103.700400    2.7197 Lanshou_Array,_China                               ss   LZDM     -0.1509    0.4368 20180124 12:00:00
LZA3    2017202  2286324   35.952778  103.694290    2.7242 Lanshou_Array,_China                               ss   LZDM     -0.3906   -0.1147 20180124 12:00:00
LZAB    2017202  2286324   35.956298  103.695560    2.7905 Lanshou_Array,_China                               ss   LZDM      0.0000    0.0000 20180124 12:00:00
LZB1    2017202  2286324   35.964797  103.706960    2.3389 Lanshou_Array,_China                               ss   LZDM      0.9431    1.0284 20180124 12:00:00
LZB2    2017202  2286324   35.952405  103.711480    2.5598 Lanshou_Array,_China                               ss   LZDM     -0.4319    1.4363 20180124 12:00:00
LZB3    2017202  2286324   35.945548  103.694030    2.5560 Lanshou_Array,_China                               ss   LZDM     -1.1928   -0.1381 20180124 12:00:00
LZB4    2017202  2286324   35.952946  103.680130    2.7146 Lanshou_Array,_China                               ss   LZDM     -0.3718   -1.3921 20180124 12:00:00
LZB5    2017202  2286324   35.968977  103.691270    2.5390 Lanshou_Array,_China                               ss   LZDM      1.4069   -0.3871 20180124 12:00:00
LZBB    2017283  2286324   35.945548  103.694030    2.5560 Lanshou_Array,_China                               ss   LZDM     -1.1928   -0.1381 20180124 12:00:00
LZDM    2017202  2286324   35.956298  103.695560    2.7905 Lanshou_Array,_China                               ar   LZDM      0.0000    0.0000 20180124 12:00:00
