MJ00    1984092  2005060   36.542700  138.207000    0.4060 Matsushiro_Array,_Japan                            ss   MJAR      0.0000    0.0000 20050629 12:00:00
MJ01    1984092  2005060   36.559900  138.241800    0.5980 Matsushiro_Array,_Japan                            ss   MJAR      1.9093    3.1156 20050629 12:00:00
MJ02    1984092  2005060   36.539200  138.319300    1.2310 Matsushiro_Array,_Japan                            ss   MJAR     -0.3826   10.0566 20050629 12:00:00
MJ03    1984092  2005060   36.481600  138.297600    0.8380 Matsushiro_Array,_Japan                            ss   MJAR     -6.7768    8.1194 20050629 12:00:00
MJ04    1984092  2005060   36.468100  138.253800    0.7610 Matsushiro_Array,_Japan                            ss   MJAR     -8.2777    4.1948 20050629 12:00:00
MJ05    1984092  2005060   36.486700  138.213900    0.9610 Matsushiro_Array,_Japan                            ss   MJAR     -6.2146    0.6183 20050629 12:00:00
MJ06    1984092  2005060   36.521600  138.250300    0.6170 Matsushiro_Array,_Japan                            ss   MJAR     -2.3407    3.8785 20050629 12:00:00
MJA0    2005060  2286324   36.524717  138.247180    0.6617 JIZO_(JZO)_ELEMENT_MJA0,_Japan                     ss   MJAR      0.0000    0.0000 20050503 12:00:00
MJA1    2005060  2286324   36.533755  138.252290    0.6723 TOYOSAKA_(TYS)_ELEMENT_MJA1,_Japan                 ss   MJAR      1.0030    0.4576 20050503 12:00:00
MJA2    2005060  2286324   36.524073  138.265620    1.1592 NAKAONE_(NAK)_ELEMENT_MJA2,_Japan                  ss   MJAR     -0.0713    1.6517 20050503 12:00:00
MJA3    2005060  2286324   36.495571  138.246720    0.9180 SOEHIYAMA_(SEH)_ELEMENT_MJA3,_Japan                ss   MJAR     -3.2345   -0.0412 20050503 12:00:00
MJA4    2005060  2286324   36.511458  138.242240    1.0425 JIZOTOUGE_(JZT)_ELEMENT_MJA4,_Japan                ss   MJAR     -1.4714   -0.4425 20050503 12:00:00
MJAR    1984092  2005060   36.542700  138.207000    0.4060 Matsushiro_Array,_Japan                            ar   MJAR      0.0000    0.0000 20050629 12:00:00
MJAR    2005060  2286324   36.524717  138.247180    0.6617 JIZO_(JZO)_ELEMENT_MJA0,_Japan                     ar   MJAR      0.0000    0.0000 20050503 12:00:00
MJB1    2005060  2286324   36.562953  138.238710    0.6417 TAKIMOTO_(TKM)_ELEMENT_MJB1,_Japan                 ss   MJAR      4.2433   -0.7583 20050503 12:00:00
MJB2    2005060  2286324   36.542308  138.316000    1.2958 SUGADAIRA_(SGD)_ELEMENT_MJB2,_Japan                ss   MJAR      1.9544    6.1627 20050503 12:00:00
MJB3    2005060  2286324   36.484705  138.294440    0.8903 DAIRA_(DIR)_ELEMENT_MJB3,_Japan                    ss   MJAR     -4.4393    4.2352 20050503 12:00:00
MJB4    2005060  2286324   36.467703  138.281600    0.7811 NAKAGUMI_(NGM)_ELEMENT_MJB4,_Japan                 ss   MJAR     -6.3265    3.0852 20050503 12:00:00
MJB5    2005060  2286324   36.482418  138.257450    0.8488 YATSUBO_(YTB)_ELEMENT_MJB5,_Japan                  ss   MJAR     -4.6941    0.9204 20050503 12:00:00
MJB6    2005060  2286324   36.471167  138.250680    0.7943 IRIKARUIZAWA_(IRK)_ELEMENT_MJB6,_Japan             ss   MJAR     -5.9427    0.3137 20050503 12:00:00
MJB7    2005060  2286324   36.489788  138.210780    1.0341 WADAIRA_(WDR)_ELEMENT_MJB7,_Japan                  ss   MJAR     -3.8756   -3.2617 20050503 12:00:00
MJB8    2005060  2286324   36.521368  138.209860    0.7740 INABA_(INB)_ELEMENT_MJB8,_Japan                    ss   MJAR     -0.3710   -3.3428 20050503 12:00:00
MJB9    2005060  2286324   36.545770  138.203890    0.4545 MATSUSHIRO_TUNNEL_(MAT)_ELEMENT_MJB9,_Japan        ss   MJAR      2.3372   -3.8764 20050503 12:00:00
MJB9B   2005060  2286324   36.545833  138.203890    0.4545 MATSUSHIRO_TUNNEL_BB_ELEMENT_MJB9B,_Japan          ss   MJAR      2.3442   -3.8764 20050503 12:00:00
