NAO00   1995302  2286324   60.823700   10.832400    0.3790 NORSAR_Array,_Norway                               ss   NOA     -24.1640  -20.6240 20120709 12:00:00
NAO01   1995302  2286324   60.844200   10.886500    0.4260 NORSAR_Array_Brumundal,_Norway                     ss   NOA     -21.8750  -17.6830 20120709 12:00:00
NAO02   1995302  2286324   60.805700   10.897100    0.3620 NORSAR_Array,_Norway                               ss   NOA     -26.1640  -17.0940 20120709 12:00:00
NAO03   1995302  2286324   60.788100   10.808400    0.2230 NORSAR_Array,_Norway                               ss   NOA     -28.1330  -21.9240 20120709 12:00:00
NAO04   1995302  2286324   60.810500   10.762500    0.2970 NORSAR_Array,_Norway                               ss   NOA     -25.6420  -24.4220 20120709 12:00:00
NAO05   1995302  2286324   60.850700   10.819300    0.2900 NORSAR_Array,_Norway                               ss   NOA     -21.1630  -21.3400 20120709 12:00:00
NB200   1995302  2286324   61.039700   11.214800    0.7170 NORSAR_Array,_Norway                               ss   NOA       0.0000    0.0000 20120709 12:00:00
NB201   1995302  2286324   61.049500   11.293900    0.6130 NORSAR_Array_Vangsaasen,_Norway                    ss   NOA       1.1260    4.2680 20120709 12:00:00
NB202   1995302  2286324   61.006900   11.277800    0.6470 NORSAR_Array,_Norway                               ss   NOA      -3.6280    3.4390 20120709 12:00:00
NB203   1995302  2286324   61.010700   11.167700    0.7300 NORSAR_Array,_Norway                               ss   NOA      -3.2500   -2.5200 20120709 12:00:00
NB204   1995302  2286324   61.049800   11.158100    0.6700 NORSAR_Array,_Norway                               ss   NOA       1.0960   -3.0680 20120709 12:00:00
NB205   1995302  2286324   61.071000   11.197700    0.6370 NORSAR_Array,_Norway                               ss   NOA       3.4800   -0.9480 20120709 12:00:00
NBO00   1995302  2286324   61.030700   10.777400    0.5290 NORSAR_Array_Moelv,_Norway                         ss   NOA      -1.0980  -23.6340 20120709 12:00:00
NBO01   1995302  2286324   61.061600   10.783400    0.5960 NORSAR_Array,_Norway                               ss   NOA       2.3330  -23.3150 20120709 12:00:00
NBO02   1995302  2286324   61.049200   10.856900    0.5210 NORSAR_Array,_Norway                               ss   NOA       0.9630  -19.3390 20120709 12:00:00
NBO03   1995302  2286324   61.012900   10.837100    0.4290 NORSAR_Array,_Norway                               ss   NOA      -3.0790  -20.4060 20120709 12:00:00
NBO04   1995302  2286324   61.011900   10.752400    0.3980 NORSAR_Array,_Norway                               ss   NOA      -3.1960  -24.9840 20120709 12:00:00
NBO05   1995302  2286324   61.059700   10.721900    0.5530 NORSAR_Array,_Norway                               ss   NOA       2.1260  -26.6340 20120709 12:00:00
NC200   1995302  2286324   61.280700   10.835400    0.8470 NORSAR_Array,_Norway                               ss   NOA      26.7570  -20.5480 20120709 12:00:00
NC201   1995302  2286324   61.298800   10.913800    1.0330 NORSAR_Array,_Norway                               ss   NOA      28.7850  -16.3460 20120709 12:00:00
NC202   1995302  2286324   61.254500   10.911000    1.0540 NORSAR_Array,_Norway                               ss   NOA      23.8480  -16.4860 20120709 12:00:00
NC203   1995302  2286324   61.243800   10.831800    0.7140 NORSAR_Array,_Norway                               ss   NOA      22.6490  -20.7320 20120709 12:00:00
NC204   1995302  2286324   61.275900   10.762900    0.8510 NORSAR_Array_Lillehammer,_Norway                   ss   NOA      26.2220  -24.4360 20120709 12:00:00
NC205   1995302  2286324   61.323100   10.822700    0.9580 NORSAR_Array,_Norway                               ss   NOA      31.4820  -21.2330 20120709 12:00:00
NC300   1995302  2286324   61.261700   11.414100    0.3660 NORSAR_Array,_Norway                               ss   NOA      24.8330   10.6140 20120709 12:00:00
NC301   1995302  2286324   61.276200   11.490500    0.2900 NORSAR_Array,_Norway                               ss   NOA      26.4930   14.5910 20120709 12:00:00
NC302   1995302  2286324   61.232800   11.472600    0.3000 NORSAR_Array,_Norway                               ss   NOA      21.6410   13.6880 20120709 12:00:00
NC303   1995302  2286324   61.225100   11.369000    0.4010 NORSAR_Array_Rena,_Norway                          ss   NOA      20.7310    8.1340 20120709 12:00:00
NC304   1995302  2286324   61.278400   11.332000    0.3930 NORSAR_Array,_Norway                               ss   NOA      26.6550    6.0890 20120709 12:00:00
NC305   1995302  2286324   61.297900   11.403500    0.3120 NORSAR_Array,_Norway                               ss   NOA      28.8630    9.8990 20120709 12:00:00
NC400   1995302  2286324   61.079100   11.718900    0.5220 NORSAR_Array,_Norway                               ss   NOA       4.6940   27.1770 20120709 12:00:00
