NV32    1997260  2008008   38.334200 -118.300300    1.8360 Mina_Array,Nevada                                  ss   NVAR    -10.5915    0.2798 20110314 12:00:00
NV33    1997260  2008008   38.485800 -118.423800    1.9460 Mina_Array,Nevada                                  ss   NVAR      6.2464  -10.4980 20110314 12:00:00
NV01    1997260  2286324   38.429600 -118.303500    2.0290 Mina_Array,Nevada                                  ss   NVAR      0.0000    0.0000 20110314 12:00:00
NV02    1997260  2286324   38.437400 -118.304900    2.0940 Mina_Array,Nevada                                  ss   NVAR      0.8660   -0.1223 20110314 12:00:00
NV03    1997260  2286324   38.427900 -118.293700    1.9780 Mina_Array,Nevada                                  ss   NVAR     -0.1887    0.8559 20110314 12:00:00
NV04    1997260  2286324   38.423200 -118.306800    1.9840 Mina_Array,Nevada                                  ss   NVAR     -0.7105   -0.2882 20110314 12:00:00
NV05    1997260  2286324   38.446400 -118.291300    2.1860 Mina_Array,Nevada                                  ss   NVAR      1.8653    1.0652 20110314 12:00:00
NV06    1997260  2286324   38.422400 -118.274400    1.9360 Mina_Array,Nevada                                  ss   NVAR     -0.7990    2.5416 20110314 12:00:00
NV07    1997260  2286324   38.410500 -118.294900    1.8490 Mina_Array,Nevada                                  ss   NVAR     -2.1205    0.7513 20110314 12:00:00
NV08    1997260  2286324   38.404100 -118.318400    1.7980 Mina_Array,Nevada                                  ss   NVAR     -2.8310   -1.3017 20110314 12:00:00
NV09    1997260  2286324   38.435400 -118.335200    1.9180 Mina_Array,Nevada                                  ss   NVAR      0.6444   -2.7682 20110314 12:00:00
NV10    1997260  2286324   38.448800 -118.319400    2.1330 Mina_Array,Nevada                                  ss   NVAR      2.1318   -1.3882 20110314 12:00:00
NV11    1997260  2286324   38.432000 -118.155400    1.5090 Mina_Array,Nevada                                  ss   NVAR      0.2768   12.9335 20110314 12:00:00
NV31    1997260  2286324   38.432000 -118.155400    1.5090 Mina_Array,Nevada                                  ss   NVAR      0.2768   12.9335 20110314 12:00:00
NVAR    1997260  2286324   38.429600 -118.303500    2.0290 Mina_Array,Nevada                                  ar   NVAR      0.0000    0.0000 20110314 12:00:00
