PD01    1995235  2286324   42.776500 -109.583141    2.1924 Pinedale,_Wyoming:_USA_array_element               ss   PDAR      1.0144   -2.0662 20090325 12:00:00
PD02    1995235  2286324   42.778181 -109.566303    2.2069 Pinedale,_Wyoming:_USA_array_element               ss   PDAR      1.2010   -0.6876 20090325 12:00:00
PD03    1995235  2286324   42.775821 -109.549496    2.2863 Pinedale,_Wyoming:_USA_array_element               ss   PDAR      0.9387    0.6884 20090325 12:00:00
PD04    1995235  2286324   42.766023 -109.574262    2.1724 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -0.1501   -1.3395 20090325 12:00:00
PD05    1995235  2286324   42.770483 -109.566456    2.1851 Pinedale,_Wyoming:_USA_array_element               ss   PDAR      0.3454   -0.7002 20090325 12:00:00
PD06    1995235  2286324   42.766752 -109.558126    2.2102 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -0.0692   -0.0182 20090325 12:00:00
PD07    1995235  2286324   42.770043 -109.545127    2.3405 Pinedale,_Wyoming:_USA_array_element               ss   PDAR      0.2966    1.0462 20090325 12:00:00
PD08    1995235  2286324   42.758967 -109.583434    2.1716 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -0.9341   -2.0907 20090325 12:00:00
PD09    1995235  2286324   42.761887 -109.566909    2.1732 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -0.6099   -0.7374 20090325 12:00:00
PD10    1995235  2286324   42.759506 -109.556846    2.1989 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -0.8745    0.0866 20090325 12:00:00
PD11    1995235  2286324   42.752653 -109.576808    2.1723 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -1.6359   -1.5483 20090325 12:00:00
PD12    1995235  2286324   42.755210 -109.562986    2.1689 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -1.3519   -0.4162 20090325 12:00:00
PD13    1995235  2286324   42.755372 -109.549136    2.2337 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -1.3339    0.7181 20090325 12:00:00
PD31    1995196  2286324   42.767375 -109.557904    2.2145 Pinedale,_Wyoming:_USA_array_element               ss   PDAR      0.0000    0.0000 20090325 12:00:00
PD32    2000215  2286324   42.767037 -109.558167    2.2134 Pinedale,_Wyoming:_USA_array_element               ss   PDAR     -0.0376   -0.0215 20090325 12:00:00
PDAR    1995196  2286324   42.767375 -109.557904    2.2145 Pinedale,_Wyoming:_USA_array_element               ar   PDAR      0.0000    0.0000 20090325 12:00:00
