SONA0   2000245  2286324   47.834690  106.394990    1.4158 SONGINO,_Mongolia                                  ss   SONM      0.0000    0.0000 20040527 12:00:00
SONA1   2002155  2286324   47.846770  106.403250    1.5117 SONGINO,_Mongolia                                  ss   SONM      1.3441    0.6187 20040527 12:00:00
SONA2   2002155  2286324   47.850680  106.398650    1.5083 SONGINO,_Mongolia                                  ss   SONM      1.7792    0.2741 20040527 12:00:00
SONA3   2002155  2286324   47.848400  106.409760    1.5636 SONGINO,_Mongolia                                  ss   SONM      1.5256    1.1062 20040527 12:00:00
SONA4   2002155  2286324   47.840040  106.404290    1.4618 SONGINO,_Mongolia                                  ss   SONM      0.5953    0.6967 20040527 12:00:00
SONB1   2002155  2286324   47.863030  106.403920    1.6036 SONGINO,_Mongolia                                  ss   SONM      3.1533    0.6686 20040527 12:00:00
SONB2   2002155  2286324   47.848650  106.423140    1.5827 SONGINO,_Mongolia                                  ss   SONM      1.5537    2.1084 20040527 12:00:00
SONB3   2002155  2286324   47.834130  106.414700    1.5374 SONGINO,_Mongolia                                  ss   SONM     -0.0621    1.4766 20040527 12:00:00
SONB4   2002155  2286324   47.833950  106.360410    1.4024 SONGINO,_Mongolia                                  ss   SONM     -0.0818   -2.5907 20040527 12:00:00
SONB5   2002155  2286324   47.853880  106.369410    1.4179 SONGINO,_Mongolia                                  ss   SONM      2.1355   -1.9157 20040527 12:00:00
SONM    2000245  2286324   47.834690  106.394990    1.4158 SONGINO,_Mongolia                                  ar   SONM      0.0000    0.0000 20040527 12:00:00
