TOA0    2005270  2286324   13.147710    1.694709    0.2143 TORODI_ARRAY,_NIGER                                ss   TORD      0.0000    0.0000 20051128 12:00:00
TOA1    2005270  2286324   13.152920    1.691865    0.2202 TORODI_ARRAY,_NIGER                                ss   TORD      0.5758   -0.3080 20051128 12:00:00
TOA2    2005270  2286324   13.147650    1.700398    0.2163 TORODI_ARRAY,_NIGER                                ss   TORD     -0.0066    0.6162 20051128 12:00:00
TOA3    2005270  2286324   13.142160    1.693322    0.2168 TORODI_ARRAY,_NIGER                                ss   TORD     -0.6134   -0.1502 20051128 12:00:00
TOB1    2005270  2286324   13.161270    1.693377    0.2314 TORODI_ARRAY,_NIGER                                ss   TORD      1.4987   -0.1443 20051128 12:00:00
TOB2    2005270  2286324   13.153160    1.707059    0.2164 TORODI_ARRAY,_NIGER                                ss   TORD      0.6024    1.3377 20051128 12:00:00
TOB3    2005270  2286324   13.137630    1.704249    0.2158 TORODI_ARRAY,_NIGER                                ss   TORD     -1.1141    1.0334 20051128 12:00:00
TOB4    2005270  2286324   13.138620    1.683801    0.2264 TORODI_ARRAY,_NIGER                                ss   TORD     -1.0047   -1.1816 20051128 12:00:00
TOB5    2005270  2286324   13.153560    1.680599    0.2185 TORODI_ARRAY,_NIGER                                ss   TORD      0.6466   -1.5283 20051128 12:00:00
TOC1    2005270  2286324   13.172090    1.701727    0.2333 TORODI_ARRAY,_NIGER                                ss   TORD      2.6947    0.7601 20051128 12:00:00
TOC2    2005270  2286324   13.156830    1.720394    0.2218 TORODI_ARRAY,_NIGER                                ss   TORD      1.0081    2.7820 20051128 12:00:00
TOC3    2005270  2286324   13.136970    1.720549    0.2143 TORODI_ARRAY,_NIGER                                ss   TORD     -1.1869    2.7990 20051128 12:00:00
TOC4    2005270  2286324   13.121600    1.699412    0.2317 TORODI_ARRAY,_NIGER                                ss   TORD     -2.8858    0.5095 20051128 12:00:00
TOC5    2005270  2286324   13.128170    1.675087    0.2315 TORODI_ARRAY,_NIGER                                ss   TORD     -2.1596   -2.1256 20051128 12:00:00
TOC6    2005270  2286324   13.148300    1.665544    0.2256 TORODI_ARRAY,_NIGER                                ss   TORD      0.0654   -3.1591 20051128 12:00:00
TOC7    2005270  2286324   13.163750    1.678700    0.2246 TORODI_ARRAY,_NIGER                                ss   TORD      1.7729   -1.7339 20051128 12:00:00
TORD    2005270  2286324   13.147710    1.694709    0.2143 TORODI_ARRAY,_NIGER                                ar   TORD      0.0000    0.0000 20051128 12:00:00
