WB0     1965274  1999182  -19.767100  134.392700    0.3920 Warramunga_Array,_Australia                        ss   WRA      19.5139    5.5773 20080609 12:00:00
WB0     1999182  2013237  -19.767100  134.392800    0.3621 Warramunga_Array,_Australia                        ss   WRA      19.4368    5.5097 20130903 12:00:00
WB1     1965274  1999182  -19.959500  134.346300    0.4217 Warramunga_Array,_Australia                        ss   WRA      -1.8791    0.7208 20080609 12:00:00
WB1     1999182  2286324  -19.959400  134.346400    0.3935 Warramunga_Array,_Australia                        ss   WRA      -1.8625    0.7304 20080609 12:00:00
WB10    2013238  2286324  -19.767100  134.392800    0.3621 Warramunga_Array,_Australia                        ss   WRA      19.4368    5.5097 20130903 12:00:00
WB2     1965274  1999182  -19.942800  134.351000    0.4250 Warramunga_Array,_Australia                        ss   WRA      -0.0223    1.2122 20080609 12:00:00
WB2     1999182  2286324  -19.942800  134.351100    0.3880 Warramunga_Array,_Australia                        ss   WRA      -0.0134    1.2152 20080609 12:00:00
WB3     1965274  1999182  -19.923000  134.355400    0.4155 Warramunga_Array,_Australia                        ss   WRA       2.1793    1.6717 20080609 12:00:00
WB3     1999182  2286324  -19.923000  134.355500    0.3842 Warramunga_Array,_Australia                        ss   WRA       2.1719    1.6610 20080609 12:00:00
WB4     1965274  1999182  -19.903500  134.359100    0.4085 Warramunga_Array,_Australia                        ss   WRA       4.3477    2.0596 20080609 12:00:00
WB4     1999182  2286324  -19.903600  134.358900    0.3806 Warramunga_Array,_Australia                        ss   WRA       4.3172    2.0160 20080609 12:00:00
WB5     1965274  1999182  -19.878200  134.366100    0.3961 Warramunga_Array,_Australia                        ss   WRA       7.1607    2.7923 20080609 12:00:00
WB5     1999182  2286324  -19.878200  134.366200    0.3709 Warramunga_Array,_Australia                        ss   WRA       7.1345    2.7657 20080609 12:00:00
WB6     1965274  1999182  -19.855000  134.367000    0.3960 Warramunga_Array,_Australia                        ss   WRA       9.7405    2.8869 20080609 12:00:00
WB6     1999182  2286324  -19.855000  134.367200    0.3648 Warramunga_Array,_Australia                        ss   WRA       9.7084    2.8574 20080609 12:00:00
WB7     1965274  1999182  -19.840800  134.379200    0.4160 Warramunga_Array,_Australia                        ss   WRA      11.3192    4.1623 20080609 12:00:00
WB7     1999182  2286324  -19.840800  134.379500    0.3532 Warramunga_Array,_Australia                        ss   WRA      11.2796    4.1388 20080609 12:00:00
WB8     1965274  1999182  -19.813900  134.380700    0.3890 Warramunga_Array,_Australia                        ss   WRA      14.3103    4.3211 20080609 12:00:00
WB8     1999182  2286324  -19.813900  134.380800    0.3561 Warramunga_Array,_Australia                        ss   WRA      14.2526    4.2682 20080609 12:00:00
WB9     1965274  1999182  -19.791400  134.383800    0.3910 Warramunga_Array,_Australia                        ss   WRA      16.8120    4.6458 20080609 12:00:00
WB9     1999182  2286324  -19.791400  134.384000    0.3600 Warramunga_Array,_Australia                        ss   WRA      16.7499    4.5912 20080609 12:00:00
WC1     1999182  2286324  -19.924300  134.339000    0.3920 Warramunga_Array,_Australia                        ss   WRA       2.0195   -0.0567 20080609 12:00:00
WC2     1999182  2286324  -19.925400  134.365500    0.3750 Warramunga_Array,_Australia                        ss   WRA       1.9153    2.7076 20080609 12:00:00
WC3     1999182  2286324  -19.958700  134.371900    0.3821 Warramunga_Array,_Australia                        ss   WRA      -1.7743    3.3999 20080609 12:00:00
WC4     1999182  2286324  -19.961900  134.339700    0.3875 Warramunga_Array,_Australia                        ss   WRA      -2.1400    0.0314 20080609 12:00:00
WR0     1965274  1999182  -19.959700  134.540400    0.3750 Warramunga_Array,_Australia                        ss   WRA      -1.9139   21.0080 20080609 12:00:00
WR0     1999182  2013237  -19.959700  134.540500    0.3530 Warramunga_Array,_Australia                        ss   WRA      -1.8195   21.0412 20130903 12:00:00
WR1     1965274  1999182  -19.942600  134.339400    0.4190 Warramunga_Array,_Australia                        ss   WRA       0.0000    0.0000 20080609 12:00:00
WR1     1999182  2286324  -19.942600  134.339500    0.3888 Warramunga_Array,_Australia                        ss   WRA       0.0000    0.0000 20080609 12:00:00
WR10    2013238  2286324  -19.959700  134.540500    0.3530 Warramunga_Array,_Australia                        ss   WRA      -1.8195   21.0412 20130903 12:00:00
WR2     1965274  1999182  -19.946800  134.362200    0.4150 Warramunga_Array,_Australia                        ss   WRA      -0.4672    2.3828 20080609 12:00:00
WR2     1999182  2286324  -19.946900  134.362400    0.3854 Warramunga_Array,_Australia                        ss   WRA      -0.4640    2.3945 20080609 12:00:00
WR3     1965274  1999182  -19.948500  134.386800    0.4010 Warramunga_Array,_Australia                        ss   WRA      -0.6567    4.9538 20080609 12:00:00
WR3     1999182  2286324  -19.948500  134.386900    0.3765 Warramunga_Array,_Australia                        ss   WRA      -0.6358    4.9627 20080609 12:00:00
WR4     1965274  1999182  -19.950300  134.406500    0.4000 Warramunga_Array,_Australia                        ss   WRA      -0.8576    7.0127 20080609 12:00:00
WR4     1999182  2286324  -19.950300  134.406600    0.3744 Warramunga_Array,_Australia                        ss   WRA      -0.8293    7.0236 20080609 12:00:00
WR5     1965274  1999182  -19.952100  134.430100    0.3950 Warramunga_Array,_Australia                        ss   WRA      -1.0590    9.4798 20080609 12:00:00
WR5     1999182  2286324  -19.952200  134.430400    0.3642 Warramunga_Array,_Australia                        ss   WRA      -1.0257    9.5120 20080609 12:00:00
WR6     1965274  1999182  -19.954300  134.453800    0.3820 Warramunga_Array,_Australia                        ss   WRA      -1.3050   11.9565 20080609 12:00:00
WR6     1999182  2286324  -19.954200  134.453000    0.3565 Warramunga_Array,_Australia                        ss   WRA      -1.2456   11.8853 20080609 12:00:00
WR7     1965274  1999182  -19.955200  134.475900    0.3820 Warramunga_Array,_Australia                        ss   WRA      -1.4068   14.2673 20080609 12:00:00
WR7     1999182  2286324  -19.955200  134.476000    0.3548 Warramunga_Array,_Australia                        ss   WRA      -1.3447   14.2900 20080609 12:00:00
WR8     1965274  1999182  -19.955700  134.500200    0.4000 Warramunga_Array,_Australia                        ss   WRA      -1.4647   16.8062 20080609 12:00:00
WR8     1999182  2286324  -19.955800  134.500500    0.3671 Warramunga_Array,_Australia                        ss   WRA      -1.4036   16.8519 20080609 12:00:00
WR9     1965274  1999182  -19.957700  134.514800    0.3830 Warramunga_Array,_Australia                        ss   WRA      -1.6887   18.3322 20080609 12:00:00
WR9     1999182  2286324  -19.957700  134.514900    0.3602 Warramunga_Array,_Australia                        ss   WRA      -1.6044   18.3608 20080609 12:00:00
WRA     1965274  1999182  -19.942600  134.339400    0.4190 Warramunga_Array,_Australia                        ar   WRA       0.0000    0.0000 20080609 12:00:00
WRA     1999182  2286324  -19.942600  134.339500    0.3888 Warramunga_Array,_Australia                        ar   WRA       0.0000    0.0000 20080609 12:00:00
