CONTIN           YKA                  YKR0   sz       7200.00 1  1962001  1976190 20060403 12:00:00
CONTIN           YKA                  YKC    sz       7200.00 1  1964197  1989212 20060403 12:00:00
CONTIN           YKA                  YKC    sn       7200.00 1  1964197  1989212 20060403 12:00:00
CONTIN           YKA                  YKC    se       7200.00 1  1964197  1989212 20060403 12:00:00
CONTIN           YKA                  YKC    lz       7200.00 1  1964197  1989212 20060403 12:00:00
CONTIN           YKA                  YKC    ln       7200.00 1  1964197  1989212 20060403 12:00:00
CONTIN           YKA                  YKC    le       7200.00 1  1964197  1989212 20060403 12:00:00
CONTIN           YKA                  YKB0   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB1   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB2   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB3   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB4   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB6   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB7   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB8   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKB9   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR1   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR2   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR3   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR4   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR5   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR6   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR7   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR8   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKR9   sz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW1   bz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW1   bn       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW1   be       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW2   bz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW2   bn       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW2   be       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW3   ez       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW3   en       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW3   ee       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW3   bz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW3   bn       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW3   be       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW4   bz       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW4   bn       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW4   be       7200.00 1  1989025  2006263 20060929 12:00:00
CONTIN           YKA                  YKW1   BHZ      7200.00 1  2006264  2011135 20110603 12:00:00
CONTIN           YKA                  YKW1   BHN      7200.00 1  2006264  2011135 20110603 12:00:00
CONTIN           YKA                  YKW1   BHE      7200.00 1  2006264  2011135 20110603 12:00:00
