YKA     1989025  2014013   62.493099 -114.606201    0.1667 Yellowknife_Array,_Canada                          ar   YKA       0.0000    0.0000 20060403 12:00:00
YKA     2014013  2286324   62.493080 -114.606100    0.1679 Yellowknife,_N.W.T.                                ar   YKA       0.0000    0.0000 20140114 12:00:00
YKAB0   2014013  2286324   62.605918 -114.606010    0.1961 Yellowknife,_N.W.T.                                ss   YKA      12.5954    0.0046 20140114 12:00:00
YKAB1   2014013  2286324   62.402336 -114.606260    0.1464 Yellowknife,_N.W.T.                                ss   YKA     -10.1290   -0.0083 20140114 12:00:00
YKAB2   2014013  2286324   62.424675 -114.606370    0.1518 Yellowknife,_N.W.T.                                ss   YKA      -7.6355   -0.0140 20140114 12:00:00
YKAB3   2014013  2286324   62.448491 -114.606060    0.1595 Yellowknife,_N.W.T.                                ss   YKA      -4.9771    0.0021 20140114 12:00:00
YKAB4   2014013  2286324   62.470925 -114.605740    0.1648 Yellowknife,_N.W.T.                                ss   YKA      -2.4730    0.0186 20140114 12:00:00
YKAB6   2014013  2286324   62.516408 -114.605720    0.1746 Yellowknife,_N.W.T.                                ss   YKA       2.6039    0.0196 20140114 12:00:00
YKAB7   2014013  2286324   62.538932 -114.606050    0.1779 Yellowknife,_N.W.T.                                ss   YKA       5.1181    0.0026 20140114 12:00:00
YKAB8   2014013  2286324   62.561431 -114.605440    0.1715 Yellowknife,_N.W.T.                                ss   YKA       7.6296    0.0340 20140114 12:00:00
YKAB9   2014013  2286324   62.582921 -114.604650    0.1883 Yellowknife,_N.W.T.                                ss   YKA      10.0284    0.0746 20140114 12:00:00
YKAR1   2014013  2286324   62.492826 -114.944460    0.1421 Yellowknife,_N.W.T.                                ss   YKA       0.0173  -17.4688 20140114 12:00:00
YKAR2   2014013  2286324   62.492806 -114.895900    0.1462 Yellowknife,_N.W.T.                                ss   YKA       0.0029  -14.9618 20140114 12:00:00
YKAR3   2014013  2286324   62.492924 -114.847660    0.1476 Yellowknife,_N.W.T.                                ss   YKA       0.0059  -12.4712 20140114 12:00:00
YKAR4   2014013  2286324   62.492656 -114.799700    0.1501 Yellowknife,_N.W.T.                                ss   YKA      -0.0324   -9.9953 20140114 12:00:00
YKAR5   2014013  2286324   62.493142 -114.750350    0.1553 Yellowknife,_N.W.T.                                ss   YKA       0.0152   -7.4473 20140114 12:00:00
YKAR6   2014013  2286324   62.493157 -114.701930    0.1621 Yellowknife,_N.W.T.                                ss   YKA       0.0123   -4.9475 20140114 12:00:00
YKAR7   2014013  2286324   62.493204 -114.654430    0.1685 Yellowknife,_N.W.T.                                ss   YKA       0.0148   -2.4952 20140114 12:00:00
YKAR8   2014013  2286324   62.493080 -114.606100    0.1679 Yellowknife,_N.W.T.                                ss   YKA       0.0000    0.0000 20140114 12:00:00
YKAR9   2014013  2286324   62.493042 -114.556410    0.1726 Yellowknife,_N.W.T.                                ss   YKA      -0.0033    2.5654 20140114 12:00:00
YKAW1   2014013  2286324   62.482200 -114.484300    0.1707 Yellowknife,_N.W.T.                                ss   YKA      -1.2085    6.2905 20140114 12:00:00
YKAW3   2014013  2286324   62.561600 -114.609900    0.1703 Yellowknife,_N.W.T.                                ss   YKA       7.6484   -0.1957 20140114 12:00:00
YKB0    1989025  2014013   62.605900 -114.606003    0.1942 Yellowknife_Array,_Canada                          ss   YKA      12.5913    0.0102 20060403 12:00:00
YKB1    1989025  2014013   62.402302 -114.606300    0.1451 Yellowknife_Array,_Canada                          ss   YKA     -10.1349   -0.0051 20060403 12:00:00
YKB2    1989025  2014013   62.424702 -114.606300    0.1503 Yellowknife_Array,_Canada                          ss   YKA      -7.6346   -0.0051 20060403 12:00:00
YKB3    1989025  2014013   62.448502 -114.606102    0.1582 Yellowknife_Array,_Canada                          ss   YKA      -4.9780    0.0051 20060403 12:00:00
YKB4    1989025  2014013   62.470901 -114.605797    0.1638 Yellowknife_Array,_Canada                          ss   YKA      -2.4778    0.0209 20060403 12:00:00
YKB6    1989025  2014013   62.516399 -114.605698    0.1736 Yellowknife_Array,_Canada                          ss   YKA       2.6008    0.0259 20060403 12:00:00
YKB7    1989025  2014013   62.538898 -114.606102    0.1766 Yellowknife_Array,_Canada                          ss   YKA       5.1122    0.0051 20060403 12:00:00
YKB8    1989025  2014013   62.561501 -114.605499    0.1710 Yellowknife_Array,_Canada                          ss   YKA       7.6352    0.0362 20060403 12:00:00
YKB9    1989025  2014013   62.583000 -114.603897    0.2131 Yellowknife_Array,_Canada                          ss   YKA      10.0351    0.1186 20060403 12:00:00
YKC     1964197  1989212   62.478298 -114.473297    0.1980 Yellowknife_Array,_Canada                          ss   YKA       0.0000    0.0000 20060403 12:00:00
YKR0    1962001  1976190   62.493099 -114.508598    0.2049 Yellowknife_Array,_Canada                          ss   YKA       0.0000    0.0000 20060403 12:00:00
YKR1    1989025  2014013   62.492802 -114.944504    0.1411 Yellowknife_Array,_Canada                          ss   YKA       0.0125  -17.4659 20060403 12:00:00
YKR2    1989025  2014013   62.492802 -114.895897    0.1450 Yellowknife_Array,_Canada                          ss   YKA       0.0003  -14.9564 20060403 12:00:00
YKR3    1989025  2014013   62.492901 -114.847603    0.1462 Yellowknife_Array,_Canada                          ss   YKA       0.0012  -12.4631 20060403 12:00:00
YKR4    1989025  2014013   62.492654 -114.799764    0.1489 Yellowknife_Array,_Canada                          ss   YKA      -0.0347   -9.9934 20060403 12:00:00
YKR5    1989025  2014013   62.493165 -114.750383    0.1541 Yellowknife_Array,_Canada                          ss   YKA       0.0157   -7.4438 20060403 12:00:00
